"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
3.577689976E1,-1.007779986E-1,-2.090681076E0,-6.084632874E-2
3.580161899E1,-1.796546876E-1,-1.242934227E0,4.356897250E-2
3.582633823E1,-1.533184797E-1,-2.132329941E-1,3.970806301E-2
3.585105747E1,-1.460512578E-1,8.794641495E-1,1.355395317E-1
3.587580723E1,-3.352975845E-2,1.873932838E0,1.073038876E-1
3.590052647E1,3.498555720E-2,2.546303749E0,-1.396808028E-2
3.592524570E1,1.716851741E-1,2.900679588E0,-1.376722753E-1
3.594996494E1,2.260748446E-1,2.851729393E0,-3.659636974E-1
3.597468418E1,2.141632289E-1,2.394305229E0,-3.366040885E-1
3.599940342E1,1.921416968E-1,1.584959030E0,-3.068284690E-1
3.602415317E1,7.793623209E-2,5.707349777E-1,-1.811019182E-1
3.604887241E1,-9.058095515E-3,-4.997711182E-1,-5.248059705E-2
3.607359165E1,-3.268299252E-2,-1.511555672E0,-1.251634955E-2
3.609831089E1,-1.215709746E-2,-2.288866043E0,3.371998668E-2
3.612303013E1,-4.280609637E-2,-2.735647202E0,2.102658153E-2
3.614774936E1,-4.737891257E-3,-2.810203552E0,7.730803639E-2
3.617249912E1,-5.257707089E-2,-2.498097420E0,1.972737163E-2
3.619721836E1,-5.495642126E-2,-1.894725800E0,1.544817537E-2
3.622196812E1,-4.936746508E-2,-9.705457687E-1,5.312263966E-5
3.624668735E1,5.000166595E-2,4.507350922E-2,-7.955995202E-2
3.627140659E1,1.200573593E-1,1.093043327E0,-1.300252676E-1
3.629612583E1,2.732090652E-1,1.997506142E0,-1.939473897E-1
3.632084507E1,3.112169802E-1,2.645462036E0,-2.325422317E-1
3.634556431E1,3.654818535E-1,2.857745171E0,-9.118138254E-2
3.637028354E1,2.743083835E-1,2.704156876E0,-7.770195603E-3
3.639500278E1,1.255807579E-1,2.132717133E0,1.189562678E-1
3.641975254E1,8.478619158E-3,1.294559479E0,1.518253833E-1
3.644447178E1,-1.327056587E-1,2.868099213E-1,1.615196019E-1
3.646919102E1,-1.206900775E-1,-7.274408340E-1,1.365377456E-1
3.649391025E1,-1.347971559E-1,-1.638475418E0,-2.539709210E-3
